,code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
122,HK_FUTURE.999010,2018-07-04 00:00:00,28335.0,28046.0,28487.0,27928.0,0.0,0.0,240710,6743253363.0,-0.9570222834339797,28317.0
123,HK_FUTURE.999010,2018-07-05 00:00:00,28047.0,28197.0,28260.0,27720.0,0.0,0.0,253641,7077155635.0,0.5384011980318049,28046.0
124,HK_FUTURE.999010,2018-07-06 00:00:00,28193.0,28220.0,28493.0,27820.0,0.0,0.0,305850,8604891562.0,0.08156896123701103,28197.0
125,HK_FUTURE.999010,2018-07-09 00:00:00,28190.0,28725.0,28849.0,28089.0,0.0,0.0,220218,6264448828.0,1.7895109851169384,28220.0
126,HK_FUTURE.999010,2018-07-10 00:00:00,28721.0,28653.0,29013.0,28560.0,0.0,0.0,227882,6540189334.0,-0.25065274151436034,28725.0
127,HK_FUTURE.999010,2018-07-11 00:00:00,28619.0,28288.0,28699.0,27892.0,0.0,0.0,241933,6808499671.0,-1.273863120790144,28653.0
128,HK_FUTURE.999010,2018-07-12 00:00:00,28295.0,28487.0,28632.0,28162.0,0.0,0.0,203608,5761187820.0,0.7034785067873304,28288.0
129,HK_FUTURE.999010,2018-07-13 00:00:00,28500.0,28558.0,28769.0,28460.0,0.0,0.0,170936,4852467651.0,0.2492364938392951,28487.0
130,HK_FUTURE.999010,2018-07-16 00:00:00,28548.0,28510.0,28702.0,28300.0,0.0,0.0,200194,5680676281.0,-0.16807899712865046,28558.0
131,HK_FUTURE.999010,2018-07-17 00:00:00,28513.0,28194.0,28534.0,28121.0,0.0,0.0,186598,5245969538.0,-1.108383023500526,28510.0
132,HK_FUTURE.999010,2018-07-18 00:00:00,28208.0,28077.0,28410.0,28012.0,0.0,0.0,204548,5734281220.0,-0.4149819110449032,28194.0
133,HK_FUTURE.999010,2018-07-19 00:00:00,28087.0,28039.0,28315.0,27954.0,0.0,0.0,192109,5366518987.0,-0.13534209495316452,28077.0
134,HK_FUTURE.999010,2018-07-20 00:00:00,28026.0,28224.0,28299.0,27732.0,0.0,0.0,251667,7014623222.0,0.659795285138557,28039.0
135,HK_FUTURE.999010,2018-07-23 00:00:00,28238.0,28209.0,28382.0,28019.0,0.0,0.0,223833,6300808742.0,-0.053146258503401364,28224.0
136,HK_FUTURE.999010,2018-07-24 00:00:00,28212.0,28643.0,28713.0,28164.0,0.0,0.0,187232,5265366334.0,1.5385160764295085,28209.0
137,HK_FUTURE.999010,2018-07-25 00:00:00,28645.0,28909.0,28973.0,28645.0,0.0,0.0,216582,5665589980.0,0.9286736724505115,28643.0
138,HK_FUTURE.999010,2018-07-26 00:00:00,28912.0,28743.0,29113.0,28616.0,0.0,0.0,239316,6415278629.0,-0.574215642187554,28909.0
139,HK_FUTURE.999010,2018-07-27 00:00:00,28745.0,28729.0,28836.0,28587.0,0.0,0.0,170083,4756326034.0,-0.048707511394078556,28743.0
140,HK_FUTURE.999010,2018-07-30 00:00:00,28715.0,28644.0,28837.0,28582.0,0.0,0.0,29414,842491873.0,-0.2958682864005012,28729.0
141,HK_FUTURE.999010,2018-07-31 00:00:00,28679.0,28433.0,28793.0,28423.0,0.0,0.0,173585,4914553645.0,-0.736628962435414,28644.0
142,HK_FUTURE.999010,2018-08-01 00:00:00,28450.0,28295.0,28828.0,28163.0,0.0,0.0,214393,6067339607.0,-0.4853515281539057,28433.0
143,HK_FUTURE.999010,2018-08-02 00:00:00,28284.0,27605.0,28334.0,27500.0,0.0,0.0,245585,6821862721.0,-2.438593391058491,28295.0
144,HK_FUTURE.999010,2018-08-03 00:00:00,27581.0,27613.0,27758.0,27444.0,0.0,0.0,201312,5503657137.0,0.028980257199782648,27605.0
145,HK_FUTURE.999010,2018-08-06 00:00:00,27609.0,27728.0,28016.0,27609.0,0.0,0.0,217626,6038817351.0,0.416470503023938,27613.0
146,HK_FUTURE.999010,2018-08-07 00:00:00,27720.0,28204.0,28234.0,27701.0,0.0,0.0,208781,5818363144.0,1.71667628390075,27728.0
147,HK_FUTURE.999010,2018-08-08 00:00:00,28218.0,28234.0,28374.0,28142.0,0.0,0.0,187096,5271457626.0,0.10636789107927953,28204.0
148,HK_FUTURE.999010,2018-08-09 00:00:00,28226.0,28531.0,28659.0,28060.0,0.0,0.0,207742,5873667458.0,1.051923213147269,28234.0
149,HK_FUTURE.999010,2018-08-10 00:00:00,28536.0,28213.0,28646.0,28173.0,0.0,0.0,174985,4958187355.0,-1.1145771266341875,28531.0
150,HK_FUTURE.999010,2018-08-13 00:00:00,28221.0,27867.0,28266.0,27704.0,0.0,0.0,201643,5602581269.0,-1.2263849998227767,28213.0
151,HK_FUTURE.999010,2018-08-14 00:00:00,27881.0,27637.0,28024.0,27444.0,0.0,0.0,214987,5941283063.0,-0.8253489790791977,27867.0
152,HK_FUTURE.999010,2018-08-15 00:00:00,27623.0,27231.0,27728.0,27150.0,0.0,0.0,215689,5880397513.0,-1.4690451206715633,27637.0
153,HK_FUTURE.999010,2018-08-16 00:00:00,27219.0,27044.0,27366.0,26642.0,0.0,0.0,295772,7945155790.0,-0.6867173442032977,27231.0
154,HK_FUTURE.999010,2018-08-17 00:00:00,27063.0,27136.0,27332.0,27005.0,0.0,0.0,183083,4946686818.0,0.3401863629640586,27044.0
155,HK_FUTURE.999010,2018-08-20 00:00:00,27135.0,27519.0,27555.0,26875.0,0.0,0.0,221843,6039430474.0,1.4114091981132075,27136.0
156,HK_FUTURE.999010,2018-08-21 00:00:00,27519.0,27627.0,27700.0,27432.0,0.0,0.0,187503,5122525426.0,0.3924561212253352,27519.0
157,HK_FUTURE.999010,2018-08-22 00:00:00,27629.0,27855.0,27907.0,27498.0,0.0,0.0,209065,5762746286.0,0.8252796177652297,27627.0
158,HK_FUTURE.999010,2018-08-23 00:00:00,27865.0,27687.0,27982.0,27580.0,0.0,0.0,202768,5609555557.0,-0.6031233171782444,27855.0
159,HK_FUTURE.999010,2018-08-24 00:00:00,27699.0,27595.0,27782.0,27447.0,0.0,0.0,200220,5444279606.0,-0.3322859103550403,27687.0
160,HK_FUTURE.999010,2018-08-27 00:00:00,27594.0,28252.0,28273.0,27520.0,0.0,0.0,210850,5549811242.0,2.380866098930966,27595.0
161,HK_FUTURE.999010,2018-08-28 00:00:00,28255.0,28292.0,28549.0,28201.0,0.0,0.0,219449,5802061652.0,0.14158289678606825,28252.0
162,HK_FUTURE.999010,2018-08-29 00:00:00,28285.0,28345.0,28474.0,28190.0,0.0,0.0,139159,3817735050.0,0.1873321080164004,28292.0
163,HK_FUTURE.999010,2018-08-30 00:00:00,28338.0,28239.0,28574.0,28227.0,0.0,0.0,28132,795306359.0,-0.37396366202152054,28345.0
164,HK_FUTURE.999010,2018-08-31 00:00:00,28063.0,27765.0,28069.0,27634.0,0.0,0.0,193667,5372492918.0,-1.6785296929777969,28239.0
165,HK_FUTURE.999010,2018-09-03 00:00:00,27747.0,27645.0,27860.0,27516.0,0.0,0.0,182631,5037272592.0,-0.4321988114532685,27765.0
166,HK_FUTURE.999010,2018-09-04 00:00:00,27646.0,27882.0,27950.0,27452.0,0.0,0.0,209063,5747823791.0,0.8572978838849702,27645.0
167,HK_FUTURE.999010,2018-09-05 00:00:00,27877.0,27104.0,27877.0,27100.0,0.0,0.0,258151,7072073768.0,-2.790330679291299,27882.0
168,HK_FUTURE.999010,2018-09-06 00:00:00,27119.0,26986.0,27224.0,26768.0,0.0,0.0,267986,7207748358.0,-0.43536009445100354,27104.0
169,HK_FUTURE.999010,2018-09-07 00:00:00,26988.0,26835.0,27165.0,26584.0,0.0,0.0,280535,7526226132.0,-0.5595493959831024,26986.0
170,HK_FUTURE.999010,2018-09-10 00:00:00,26858.0,26631.0,26892.0,26356.0,0.0,0.0,250759,6618567242.0,-0.7602012297372834,26835.0
171,HK_FUTURE.999010,2018-09-11 00:00:00,26640.0,26305.0,26711.0,26290.0,0.0,0.0,247146,6532536460.0,-1.2241372836168374,26631.0
172,HK_FUTURE.999010,2018-09-12 00:00:00,26286.0,26341.0,26436.0,26020.0,0.0,0.0,272067,7102428708.0,0.13685611100551226,26305.0
173,HK_FUTURE.999010,2018-09-13 00:00:00,26328.0,26987.0,27040.0,26222.0,0.0,0.0,275973,7303453358.0,2.452450552370829,26341.0
174,HK_FUTURE.999010,2018-09-14 00:00:00,26983.0,27255.0,27345.0,26959.0,0.0,0.0,254679,6886075792.0,0.9930707377626264,26987.0
175,HK_FUTURE.999010,2018-09-17 00:00:00,27265.0,26891.0,27282.0,26711.0,0.0,0.0,225060,6032948319.0,-1.3355347642634379,27255.0
176,HK_FUTURE.999010,2018-09-18 00:00:00,26890.0,27041.0,27169.0,26605.0,0.0,0.0,275785,7368754274.0,0.5578074448700309,26891.0
177,HK_FUTURE.999010,2018-09-19 00:00:00,27051.0,27411.0,27494.0,27017.0,0.0,0.0,240228,6524429972.0,1.3682925927295588,27041.0
178,HK_FUTURE.999010,2018-09-20 00:00:00,27403.0,27459.0,27625.0,27294.0,0.0,0.0,245712,6702110761.0,0.17511218124110758,27411.0
179,HK_FUTURE.999010,2018-09-21 00:00:00,27456.0,27940.0,27982.0,27456.0,0.0,0.0,282994,7640993116.0,1.7517025383298734,27459.0
180,HK_FUTURE.999010,2018-09-24 00:00:00,27945.0,27465.0,27945.0,27388.0,0.0,0.0,192251,4914022029.0,-1.7000715819613457,27940.0
181,HK_FUTURE.999010,2018-09-26 00:00:00,27465.0,27818.0,28037.0,27393.0,0.0,0.0,230938,6161107939.0,1.285272164573093,27465.0
182,HK_FUTURE.999010,2018-09-27 00:00:00,27823.0,27742.0,27929.0,27710.0,0.0,0.0,41966,1165225896.0,-0.27320440002875834,27818.0
183,HK_FUTURE.999010,2018-09-28 00:00:00,27707.0,27877.0,27935.0,27649.0,0.0,0.0,221516,6142848901.0,0.4866267752865691,27742.0
184,HK_FUTURE.999010,2018-10-02 00:00:00,27874.0,26994.0,27874.0,26991.0,0.0,0.0,222295,6036967747.0,-3.167485740933386,27877.0
185,HK_FUTURE.999010,2018-10-03 00:00:00,26991.0,27057.0,27252.0,26871.0,0.0,0.0,212171,5692649199.0,0.23338519671038008,26994.0
186,HK_FUTURE.999010,2018-10-04 00:00:00,27019.0,26563.0,27175.0,26490.0,0.0,0.0,203632,5368706807.0,-1.8257752152862474,27057.0
187,HK_FUTURE.999010,2018-10-05 00:00:00,26556.0,26459.0,26632.0,26243.0,0.0,0.0,202559,5331734828.0,-0.3915220419380341,26563.0
188,HK_FUTURE.999010,2018-10-08 00:00:00,26459.0,26147.0,26771.0,26128.0,0.0,0.0,263452,6915269818.0,-1.179182886730413,26459.0
189,HK_FUTURE.999010,2018-10-09 00:00:00,26147.0,26060.0,26342.0,25971.0,0.0,0.0,262286,6843698311.0,-0.3327341568822427,26147.0
190,HK_FUTURE.999010,2018-10-10 00:00:00,26061.0,26165.0,26470.0,25947.0,0.0,0.0,264343,6905412547.0,0.4029163468917882,26060.0
191,HK_FUTURE.999010,2018-10-11 00:00:00,26173.0,25187.0,26256.0,25123.0,0.0,0.0,309253,7797962548.0,-3.737817695394611,26165.0
192,HK_FUTURE.999010,2018-10-12 00:00:00,25186.0,25690.0,25788.0,25080.0,0.0,0.0,322935,8193176912.0,1.9970619764164053,25187.0
